id,a_naam,b_naam,uur,date,a_clubid,b_clubid,eindstand,pday,season
4314766,RSC Anderlecht,Antwerp FC,"zaterdag,za30 mrt. 2024-20:45 uur",30 mrt. 2024,58,1096,1:0,1,2023
4314767,Cercle Brugge,Club Brugge,"maandag,ma1 apr. 2024-13:30 uur",1 apr. 2024,520,2282,1:1,1,2023
4314768,KRC Genk ,Union SG,"maandag,ma1 apr. 2024-18:30 uur",1 apr. 2024,1184,3948,1:0,1,2023
4314796,KAA Gent,Standard Luik,"vrijdag,vr29 mrt. 2024-20:45 uur",29 mrt. 2024,157,3057,5:1,1,2023
4314797,OH Leuven,KV Mechelen,"zaterdag,za30 mrt. 2024-18:15 uur",30 mrt. 2024,2727,354,2:3,1,2023
4314798,St-Truidense VV,KVC Westerlo,"zondag,zo31 mrt. 2024-18:30 uur",31 mrt. 2024,475,968,2:0,1,2023
4314775,Antwerp FC,KRC Genk ,"zaterdag,za6 apr. 2024-20:45 uur",6 apr. 2024,1096,1184,0:1,2,2023
4314776,Union SG,Cercle Brugge,"zondag,zo7 apr. 2024-13:30 uur",7 apr. 2024,3948,520,2:3,2,2023
4314777,Club Brugge,RSC Anderlecht,"zondag,zo7 apr. 2024-18:30 uur",7 apr. 2024,2282,58,3:1,2,2023
4314811,KV Mechelen,St-Truidense VV,"vrijdag,vr5 apr. 2024-20:45 uur",5 apr. 2024,354,475,2:3,2,2023
4314812,Standard Luik,OH Leuven,"zaterdag,za6 apr. 2024-18:15 uur",6 apr. 2024,3057,2727,0:0,2,2023
4314813,KVC Westerlo,KAA Gent,"zondag,zo7 apr. 2024-19:15 uur",7 apr. 2024,968,157,0:3,2,2023
4314778,KRC Genk ,Cercle Brugge,"zaterdag,za13 apr. 2024-20:45 uur",13 apr. 2024,1184,520,1:1,3,2023
4314779,Club Brugge,Antwerp FC,"zondag,zo14 apr. 2024-13:30 uur",14 apr. 2024,2282,1096,3:0,3,2023
4314780,RSC Anderlecht,Union SG,"zondag,zo14 apr. 2024-18:30 uur",14 apr. 2024,58,3948,2:1,3,2023
4314799,St-Truidense VV,Standard Luik,"vrijdag,vr12 apr. 2024-20:45 uur",12 apr. 2024,475,3057,3:3,3,2023
4314800,KV Mechelen,KVC Westerlo,"zaterdag,za13 apr. 2024-18:15 uur",13 apr. 2024,354,968,3:2,3,2023
4314801,OH Leuven,KAA Gent,"zondag,zo14 apr. 2024-19:15 uur",14 apr. 2024,2727,157,2:1,3,2023
4314769,KRC Genk ,RSC Anderlecht,"zaterdag,za20 apr. 2024-20:45 uur",20 apr. 2024,1184,58,-:-,4,2023
4314770,Cercle Brugge,Antwerp FC,"zondag,zo21 apr. 2024-13:30 uur",21 apr. 2024,520,1096,-:-,4,2023
4314771,Union SG,Club Brugge,"zondag,zo21 apr. 2024-18:30 uur",21 apr. 2024,3948,2282,-:-,4,2023
4314808,OH Leuven,St-Truidense VV,"zaterdag,za20 apr. 2024-16:00 uur",20 apr. 2024,2727,475,-:-,4,2023
4314809,KVC Westerlo,Standard Luik,"zaterdag,za20 apr. 2024-18:15 uur",20 apr. 2024,968,3057,-:-,4,2023
4314810,KAA Gent,KV Mechelen,"zaterdag,za20 apr. 2024-20:00 uur",20 apr. 2024,157,354,-:-,4,2023
4314772,RSC Anderlecht,Cercle Brugge,"woensdag,wo24 apr. 2024-20:30 uur",24 apr. 2024,58,520,-:-,5,2023
4314773,Club Brugge,KRC Genk ,"woensdag,wo24 apr. 2024-20:30 uur",24 apr. 2024,2282,1184,-:-,5,2023
4314774,Antwerp FC,Union SG,"donderdag,do25 apr. 2024-20:30 uur",25 apr. 2024,1096,3948,-:-,5,2023
4314802,KVC Westerlo,OH Leuven,"dinsdag,di23 apr. 2024-20:30 uur",23 apr. 2024,968,2727,-:-,5,2023
4314803,St-Truidense VV,KAA Gent,"dinsdag,di23 apr. 2024-20:30 uur",23 apr. 2024,475,157,-:-,5,2023
4314804,Standard Luik,KV Mechelen,"dinsdag,di23 apr. 2024-20:30 uur",23 apr. 2024,3057,354,-:-,5,2023
4314790,KRC Genk ,Club Brugge,"zondag,zo28 apr. 2024-13:30 uur",28 apr. 2024,1184,2282,-:-,6,2023
4314791,Cercle Brugge,RSC Anderlecht,"zondag,zo28 apr. 2024-16:00 uur",28 apr. 2024,520,58,-:-,6,2023
4314792,Union SG,Antwerp FC,"zondag,zo28 apr. 2024-18:30 uur",28 apr. 2024,3948,1096,-:-,6,2023
4314805,KV Mechelen,OH Leuven,"zaterdag,za27 apr. 2024-16:00 uur",27 apr. 2024,354,2727,-:-,6,2023
4314806,Standard Luik,St-Truidense VV,"zaterdag,za27 apr. 2024-18:15 uur",27 apr. 2024,3057,475,-:-,6,2023
4314807,KAA Gent,KVC Westerlo,"zaterdag,za27 apr. 2024-20:45 uur",27 apr. 2024,157,968,-:-,6,2023
4314787,Cercle Brugge,KRC Genk ,"zaterdag,za4 mei 2024-20:45 uur",4 mei 2024,520,1184,-:-,7,2023
4314788,Antwerp FC,Club Brugge,"zondag,zo5 mei 2024-13:30 uur",5 mei 2024,1096,2282,-:-,7,2023
4314789,Union SG,RSC Anderlecht,"zondag,zo5 mei 2024-18:30 uur",5 mei 2024,3948,58,-:-,7,2023
4314817,KVC Westerlo,St-Truidense VV,"vrijdag,vr3 mei 2024-20:45 uur",3 mei 2024,968,475,-:-,7,2023
4314818,KV Mechelen,KAA Gent,"zaterdag,za4 mei 2024-18:15 uur",4 mei 2024,354,157,-:-,7,2023
4314819,OH Leuven,Standard Luik,"zondag,zo5 mei 2024-16:00 uur",5 mei 2024,2727,3057,-:-,7,2023
4314784,RSC Anderlecht,KRC Genk ,"zaterdag,za11 mei 2024-20:45 uur",11 mei 2024,58,1184,-:-,8,2023
4314785,Antwerp FC,Cercle Brugge,"zondag,zo12 mei 2024-18:30 uur",12 mei 2024,1096,520,-:-,8,2023
4314786,Club Brugge,Union SG,"maandag,ma13 mei 2024-20:30 uur",13 mei 2024,2282,3948,-:-,8,2023
4314820,Standard Luik,KVC Westerlo,"vrijdag,vr10 mei 2024-20:45 uur",10 mei 2024,3057,968,-:-,8,2023
4314821,KAA Gent,OH Leuven,"zondag,zo12 mei 2024-13:30 uur",12 mei 2024,157,2727,-:-,8,2023
4314822,St-Truidense VV,KV Mechelen,"zondag,zo12 mei 2024-16:00 uur",12 mei 2024,475,354,-:-,8,2023
4314781,Cercle Brugge,Union SG,"zondag,zo19 mei 2024-13:30 uur",19 mei 2024,520,3948,-:-,9,2023
4314782,RSC Anderlecht,Club Brugge,"zondag,zo19 mei 2024-18:30 uur",19 mei 2024,58,2282,-:-,9,2023
4314783,KRC Genk ,Antwerp FC,"maandag,ma20 mei 2024-18:30 uur",20 mei 2024,1184,1096,-:-,9,2023
4314823,St-Truidense VV,OH Leuven,"vrijdag,vr17 mei 2024-20:45 uur",17 mei 2024,475,2727,-:-,9,2023
4314824,KVC Westerlo,KV Mechelen,"zaterdag,za18 mei 2024-18:15 uur",18 mei 2024,968,354,-:-,9,2023
4314825,Standard Luik,KAA Gent,"zaterdag,za18 mei 2024-20:45 uur",18 mei 2024,3057,157,-:-,9,2023
4314793,Union SG,KRC Genk ,"zondag,zo26 mei 2024-18:30 uur",26 mei 2024,3948,1184,-:-,10,2023
4314794,Antwerp FC,RSC Anderlecht,"zondag,zo26 mei 2024-18:30 uur",26 mei 2024,1096,58,-:-,10,2023
4314795,Club Brugge,Cercle Brugge,"zondag,zo26 mei 2024-18:30 uur",26 mei 2024,2282,520,-:-,10,2023
4314814,OH Leuven,KVC Westerlo,"zaterdag,za25 mei 2024-20:30 uur",25 mei 2024,2727,968,-:-,10,2023
4314815,KV Mechelen,Standard Luik,"zaterdag,za25 mei 2024-20:30 uur",25 mei 2024,354,3057,-:-,10,2023
4314816,KAA Gent,St-Truidense VV,"zaterdag,za25 mei 2024-20:30 uur",25 mei 2024,157,475,-:-,10,2023
